HYPONYM,HYPERONYM
ГЕККОН,"ящерица, чешуйчатый, пресмыкающиеся, животное, рептилия"
ГЕЛЬ,"желеобразное вещество, косметика, , , "
ГЕОРГИН,"растение, цветы, сложноцветный цветок, трава, зелень"
ГЕОФАК,"факультет, направление подготовки, специальность, структурное подразделение, департамент"
ГЕРИАТРИЯ,"геронтология, наука, изучение болезней, знание, лечение"
ГЕРМАНИЗАЦИЯ,"распространение языка, распространения культуры, , , "
ГЕРМЕТИК,"паста, материал, смазка, замазка, "
ГЕРОНТОЛОГ,"врач, специалист, доктор, человек, профессия"
ГЕСТАПОВЕЦ,"сотрудник гестапо, человек, тайная военная полиция, эсэсовец, профессия"
ГИГИЕНИСТ,"человек, врач, специалист, доктор, профессия"
ГИДРАТАЦИЯ,"сольватация, соединение, , , "
ГИДРИД,"соединение водорода с металлами, химический элемент, , , "
ГИДРОЛИЗ,"разложение, сольволиз, , , "
ГИДРОПОНИКА,"рост, выращивание растений, , , "
ГИДРОЦИКЛ,"транспорт, мотоцикл, аквабайк, авто, водные лыжи"
ГИПЕРБОЛА,"график, кривая, геометрия, , "
ГИПЕРКАР,"авто, машина, транспорт, суперкар, средство передвижения"
ГИПЕРРЕАЛИЗМ,"направление в исскустве, современное исскуство, исскуство, натурализм, живопись"
ГИПЕРТЕРМИЯ,"перегревание, повышение температуры тела, накопление тепла, лечение, терапия"
ГИПЕРТРОФИЯ,"увеличение органа, рост органа, болезнь, , "
ГИПОТОНИК,"больной, человек, пациент, , "
ГИПЮР,"ткань, материал, кружева, , "
ГИРЯ,"спорт товар, предмет, металлический груз, , "
ГИЧКА,"шлюпка, судно, лодка, транспорт, средство передвижения"
